episode,steps,episode_reward,critic_loss,actor_loss,noise_sigma,renewable_efficiency,stress_reduction,battery_protection_score,peak_reduction,total_steps
67,128,122.7715,7.282716,-31.818042,0.19341,0.3477,0.0336,0.5712,42.435,8576
68,128,122.8654,7.391388,-32.204399,0.19331,0.391,0.15,0.5792,42.435,8704
69,128,127.0146,7.069382,-32.657047,0.19322,0.4404,0.0684,0.589,42.795,8832
70,128,121.5196,7.293411,-33.096153,0.19312,0.323,0.0672,0.5982,50.985,8960
71,128,128.7268,7.607312,-33.415445,0.19302,0.4359,0.066,0.585,27.36,9088
72,128,123.1318,8.413726,-33.714238,0.19293,0.3588,0.3216,0.6151,50.985,9216
73,128,125.3849,7.76597,-34.212461,0.19283,0.4348,0.0,0.5685,40.005,9344
74,128,126.2484,7.868744,-34.481635,0.19273,0.3955,0.2052,0.5831,42.48,9472
75,128,120.7641,8.521768,-34.86744,0.19264,0.3033,0.0,0.6176,50.04,9600
76,128,129.4972,8.645856,-35.166647,0.19254,0.4752,0.0,0.5898,38.655,9728
77,128,127.1599,8.44656,-35.456223,0.19244,0.444,0.0,0.5854,42.795,9856
78,128,129.5014,7.647905,-35.790124,0.19235,0.466,0.0,0.5808,27.765,9984
79,128,127.3296,8.86444,-35.99917,0.19225,0.4226,0.1764,0.585,42.48,10112
80,128,120.2639,7.13924,-36.442888,0.19216,0.4374,0.0,0.5929,27.63,10240,77.1684,0.5122,0.0,0.5618,30.24
81,128,123.9803,9.63628,-36.665988,0.19206,0.3275,0.0,0.6106,50.085,10368
82,128,119.6767,9.956463,-36.978884,0.19196,0.431,0.0,0.5921,27.225,10496
83,128,125.5708,8.556708,-37.302223,0.19187,0.4048,0.0012,0.5934,42.795,10624
84,128,127.0223,9.625101,-37.560665,0.19177,0.4153,0.0672,0.5896,27.36,10752
85,128,125.6135,11.698261,-37.649471,0.19168,0.3963,0.0408,0.5812,42.795,10880
86,128,126.1267,9.03418,-37.990836,0.19158,0.4946,0.06,0.5739,40.005,11008
87,128,122.4679,9.78,-38.239397,0.19148,0.355,0.0,0.5714,42.435,11136
88,128,123.755,10.545515,-38.499942,0.19139,0.4422,0.0348,0.5675,40.005,11264
89,128,125.7398,8.238612,-38.770612,0.19129,0.415,0.0072,0.5846,42.795,11392
90,128,120.9738,12.576098,-38.961324,0.1912,0.4325,0.0,0.5872,27.63,11520
91,128,124.5453,10.814806,-39.368961,0.1911,0.3888,0.0,0.5769,42.795,11648
92,128,124.5118,10.353108,-39.771836,0.19101,0.508,0.0948,0.5853,40.005,11776
93,128,126.3095,11.576157,-40.113274,0.19091,0.4367,0.1248,0.588,42.795,11904
94,128,117.6116,10.441441,-40.453437,0.19082,0.4248,0.1236,0.5733,27.225,12032
95,128,123.529,10.856824,-40.669923,0.19072,0.3744,0.0576,0.58,42.795,12160
96,128,123.2121,11.513735,-40.992304,0.19062,0.4114,0.186,0.5744,40.005,12288
97,128,127.1882,14.038805,-41.320153,0.19053,0.4298,0.0,0.5916,42.795,12416
98,128,124.3231,10.769878,-41.572418,0.19043,0.4271,0.0,0.5669,40.005,12544
99,128,128.9163,10.856392,-41.813313,0.19034,0.4752,0.0,0.5898,38.655,12672
100,128,124.0142,11.018409,-42.163525,0.19024,0.3275,0.0,0.6106,50.085,12800,77.1683,0.5122,0.0,0.5618,30.24
101,128,116.4034,12.346527,-42.35066,0.19015,0.3871,0.0264,0.5777,27.225,12928
102,128,128.5286,13.270714,-42.613755,0.19005,0.4473,0.0588,0.5819,27.765,13056
103,128,124.3405,12.32974,-42.921321,0.18996,0.3888,0.0,0.5769,42.795,13184
104,128,120.1314,14.095171,-43.047615,0.18986,0.434,0.0,0.5928,27.225,13312
105,128,121.7612,12.620764,-43.372343,0.18977,0.2966,0.0,0.622,50.04,13440
106,128,120.2196,13.427071,-43.731574,0.18967,0.2939,0.0,0.627,50.04,13568
107,128,128.4238,13.262467,-43.893374,0.18958,0.4318,0.0588,0.5864,27.765,13696
108,128,123.4375,13.506305,-44.148503,0.18948,0.3888,0.0,0.5769,42.795,13824
109,128,124.2512,14.490471,-44.445774,0.18939,0.4423,0.0,0.5683,40.005,13952
110,128,113.2394,12.569323,-44.839734,0.18929,0.4477,0.1152,0.5786,40.005,14080
111,128,109.286,14.555879,-45.305583,0.1892,0.4473,0.0,0.5739,40.005,14208
112,128,111.6396,15.195959,-46.147241,0.18911,0.4153,0.0672,0.5896,27.36,14336
113,128,102.2034,16.844064,-46.89927,0.18901,0.3322,0.0,0.627,50.04,14464
114,128,92.659,16.459246,-46.89478,0.18892,0.4194,0.0,0.5742,27.225,14592
115,128,100.2292,15.428868,-46.421626,0.18882,0.3137,0.0,0.6177,49.095,14720
116,128,103.5661,16.117972,-46.748699,0.18873,0.4186,0.18,0.5872,42.795,14848
117,128,95.5492,15.404397,-47.057879,0.18863,0.4331,0.0,0.5922,27.225,14976
118,128,100.8928,16.146971,-47.098967,0.18854,0.3166,0.0,0.6245,50.04,15104
119,128,93.8824,16.861457,-47.580655,0.18844,0.4248,0.2268,0.5732,27.225,15232
120,128,98.2933,16.388136,-47.975889,0.18835,0.3685,0.0,0.582,42.795,15360,59.631,0.5122,0.0,0.5618,30.24
121,128,102.0358,14.332469,-48.066103,0.18826,0.42,0.0,0.5926,42.795,15488
122,128,98.311,15.368429,-48.293467,0.18816,0.3381,0.0,0.5707,42.435,15616
123,128,99.1121,14.491525,-48.428013,0.18807,0.4141,0.0,0.575,42.435,15744
124,128,91.4415,17.304125,-48.68784,0.18797,0.3776,0.0,0.5789,27.225,15872
125,128,99.7772,20.596588,-48.58343,0.18788,0.4736,0.0,0.5784,40.005,16000
126,128,104.4843,16.661295,-49.070618,0.18779,0.4768,0.0,0.5854,38.655,16128
127,128,93.1405,14.859731,-49.39971,0.18769,0.394,0.0,0.5812,27.225,16256
128,128,97.3198,19.336054,-49.515926,0.1876,0.4526,0.078,0.591,40.005,16384
129,128,96.5525,14.954661,-49.920312,0.1875,0.4434,0.078,0.594,40.005,16512
130,128,103.3532,18.929382,-50.331597,0.18741,0.4338,0.084,0.5938,27.765,16640
131,128,97.8794,20.08482,-50.847566,0.18732,0.4648,0.0132,0.5942,27.63,16768
132,128,102.631,18.927724,-51.100658,0.18722,0.4429,0.0804,0.5829,27.765,16896
133,128,100.3393,20.471891,-50.784543,0.18713,0.4883,0.0,0.5705,40.005,17024
134,128,99.0927,20.260346,-51.133597,0.18704,0.3548,0.0756,0.5893,50.985,17152
135,128,99.164,18.090544,-51.538353,0.18694,0.4407,0.0204,0.5745,40.005,17280
136,128,96.2245,22.612776,-51.271128,0.18685,0.3383,0.0,0.5712,42.435,17408
137,128,93.6349,20.925245,-51.298702,0.18676,0.4212,0.1164,0.5752,27.225,17536
138,128,102.1184,21.614912,-51.663993,0.18666,0.411,0.2052,0.5823,42.48,17664
139,128,99.9554,20.258463,-51.599027,0.18657,0.4473,0.0,0.5739,40.005,17792
140,128,99.8954,17.592204,-51.547423,0.18648,0.5008,0.0948,0.5853,40.005,17920,59.3881,0.5122,0.0,0.5618,30.24
141,128,92.3813,22.138045,-51.465444,0.18638,0.4084,0.0312,0.5772,27.225,18048
142,128,101.8828,17.727823,-51.631263,0.18629,0.4125,0.0312,0.5755,27.765,18176
143,128,104.3106,20.804979,-51.44221,0.1862,0.4305,0.1572,0.5836,42.48,18304
144,128,106.7686,20.679859,-51.398004,0.1861,0.3586,0.0,0.6089,31.365,18432
145,128,108.4237,20.026285,-51.752705,0.18601,0.3856,0.0732,0.5755,42.435,18560
146,128,111.4328,21.034978,-51.761029,0.18592,0.444,0.0,0.5854,42.795,18688
147,128,112.2697,19.811283,-51.944866,0.18582,0.4426,0.0,0.596,42.795,18816
148,128,112.286,17.327879,-51.951829,0.18573,0.4204,0.0,0.5895,27.36,18944
149,128,106.4827,19.772987,-51.708127,0.18564,0.2899,0.0516,0.6285,50.04,19072
150,128,106.184,19.517889,-51.995267,0.18555,0.4278,0.0,0.592,27.63,19200
151,128,109.8107,18.929084,-52.226699,0.18545,0.4422,0.0,0.5721,40.005,19328
152,128,102.1145,17.117905,-51.97861,0.18536,0.4017,0.0,0.5805,27.225,19456
153,128,111.0625,19.141804,-51.915554,0.18527,0.4229,0.0,0.5766,42.48,19584
154,128,110.8415,21.311082,-51.909672,0.18517,0.3988,0.1428,0.583,42.48,19712
155,128,101.7665,20.609974,-52.047856,0.18508,0.3868,0.0,0.5831,27.225,19840
156,128,112.0366,18.946478,-51.954587,0.18499,0.4385,0.0,0.5961,42.795,19968
157,128,112.3836,20.758097,-51.932801,0.1849,0.4362,0.0,0.5868,42.795,20096
158,128,108.5416,15.697658,-52.20179,0.1848,0.3137,0.0,0.6177,49.095,20224
159,128,112.2975,21.378788,-52.220301,0.18471,0.4281,0.0408,0.5886,27.36,20352
160,128,107.8117,18.792943,-52.220012,0.18462,0.323,0.0204,0.5971,50.985,20480,66.5001,0.5122,0.0,0.5618,30.24
161,128,113.8746,19.922475,-52.185251,0.18453,0.468,0.0396,0.5797,27.765,20608
162,128,109.6328,21.169059,-52.133857,0.18444,0.5011,0.0,0.5713,40.005,20736
163,128,108.3881,22.562923,-52.318994,0.18434,0.3646,0.0792,0.5818,42.435,20864
164,128,107.7226,18.920148,-52.504592,0.18425,0.3573,0.0,0.5826,42.795,20992
165,128,106.1058,19.041246,-52.328419,0.18416,0.2977,0.0636,0.6276,50.04,21120
166,128,103.8171,18.484752,-52.43232,0.18407,0.4269,0.0,0.5838,27.225,21248
167,128,109.561,16.432367,-52.546875,0.18397,0.4618,0.0,0.5752,40.005,21376
168,128,111.9998,17.872513,-52.607913,0.18388,0.4253,0.0,0.5811,42.48,21504
169,128,108.8629,20.078927,-52.590404,0.18379,0.3588,0.3216,0.6174,50.985,21632
170,128,111.8992,18.845106,-52.615004,0.1837,0.3715,0.0,0.6056,31.365,21760
171,128,107.3113,18.020593,-52.922872,0.18361,0.3223,0.1944,0.608,50.985,21888
172,128,111.6353,20.145253,-52.804983,0.18351,0.3666,0.0,0.6028,31.365,22016
173,128,104.8701,18.885733,-53.031508,0.18342,0.4315,0.0348,0.5924,27.225,22144
174,128,102.6287,20.276636,-53.009564,0.18333,0.4191,0.162,0.5758,27.225,22272
175,128,110.4671,22.275848,-52.861037,0.18324,0.4961,0.0,0.5707,40.005,22400
176,128,109.5702,17.786321,-52.921551,0.18315,0.4141,0.0,0.575,42.435,22528
177,128,109.1391,21.409436,-52.795273,0.18306,0.3584,0.036,0.6239,50.04,22656
178,128,107.8703,22.064337,-52.789827,0.18297,0.4775,0.0,0.5861,40.005,22784
179,128,111.7399,20.549502,-53.073157,0.18287,0.4274,0.0396,0.579,27.765,22912
180,128,112.6211,20.595717,-52.94988,0.18278,0.4485,0.0372,0.5892,42.795,23040,66.5002,0.5122,0.0,0.5618,30.24
181,128,113.9025,22.721993,-52.943912,0.18269,0.4568,0.0,0.591,27.765,23168
182,128,106.7307,21.245937,-53.055812,0.1826,0.4433,0.0,0.591,27.63,23296
183,128,105.5172,21.737017,-52.907133,0.18251,0.4374,0.0,0.5933,27.63,23424
184,128,103.5606,18.036433,-52.956504,0.18242,0.4211,0.0,0.5846,27.225,23552
185,128,112.1485,20.60777,-53.013026,0.18233,0.4484,0.0276,0.5894,42.795,23680
186,128,107.92,20.134612,-53.131434,0.18223,0.4192,0.0204,0.5637,40.005,23808
187,128,107.6706,18.677084,-53.018176,0.18214,0.3611,0.0,0.5823,42.795,23936
188,128,107.7599,21.056235,-53.004118,0.18205,0.3999,0.0324,0.5811,42.435,24064
189,128,107.6374,18.805348,-53.101194,0.18196,0.3394,0.0,0.5972,50.985,24192
190,128,107.1936,20.556098,-52.907412,0.18187,0.3947,0.2184,0.5711,40.005,24320
191,128,105.8041,21.032341,-53.143722,0.18178,0.2899,0.0,0.627,50.04,24448
192,128,109.2627,20.768385,-52.988518,0.18169,0.3893,0.0012,0.5923,42.795,24576
193,128,109.3057,17.609401,-53.042955,0.1816,0.4451,0.0564,0.5801,40.005,24704
194,128,107.3182,21.182079,-53.171739,0.18151,0.3611,0.0,0.5823,42.795,24832
195,128,109.2463,19.448414,-53.107965,0.18142,0.5008,0.0948,0.5853,40.005,24960
196,128,106.5849,20.003723,-52.973105,0.18133,0.3947,0.2184,0.5711,40.005,25088
197,128,107.1891,22.186702,-52.91364,0.18123,0.4588,0.0132,0.5932,27.63,25216
198,128,104.2223,19.833091,-52.857446,0.18114,0.4269,0.1116,0.5914,27.225,25344
199,128,110.8317,20.648266,-52.853295,0.18105,0.4126,0.0,0.5939,42.795,25472
200,128,110.3422,18.567297,-52.910475,0.18096,0.4886,0.0,0.5703,40.005,25600,66.5003,0.5122,0.0,0.5618,30.24
